NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LOXL2	15	28.417787551879883	0.037199743	Yes	
row_1	CALD1	16	28.366819381713867	0.075327784	Yes	
row_2	PDGFRB	32	25.875194549560547	0.10911001	Yes	
row_3	THBS1	36	25.442819595336914	0.14310853	Yes	
row_4	JAM3	100	19.67061424255371	0.16536134	Yes	
row_5	ITGA5	116	19.25518226623535	0.19024555	Yes	
row_6	SERPINE1	126	18.914012908935547	0.21506993	Yes	
row_7	PDGFRA	183	16.13265037536621	0.23303252	Yes	
row_8	SLIT2	194	15.744550704956055	0.25353035	Yes	
row_9	BMP4	205	15.356771469116211	0.27350694	Yes	
row_10	COL4A1	228	14.725882530212402	0.29183814	Yes	
row_11	PLXDC1	232	14.632184028625488	0.311306	Yes	
row_12	RECK	261	13.869429588317871	0.32808727	Yes	
row_13	SFRP2	275	13.555318832397461	0.34544316	Yes	
row_14	TGFBR2	302	13.124903678894043	0.36135665	Yes	
row_15	SCG2	352	12.010629653930664	0.37424397	Yes	
row_16	AMOTL1	355	11.875977516174316	0.39007366	Yes	
row_17	ANGPT1	359	11.774910926818848	0.40570104	Yes	
row_18	PXDN	386	11.32361125946045	0.4191934	Yes	
row_19	EGR3	395	11.198234558105469	0.43371338	Yes	
row_20	TBX1	450	10.256366729736328	0.4439105	Yes	
row_21	TEK	455	10.186569213867188	0.45733654	Yes	
row_22	PGF	487	9.7409029006958	0.46836928	Yes	
row_23	HEY1	563	8.902027130126953	0.4753505	Yes	
row_24	TGFBI	571	8.830119132995605	0.48675397	Yes	
row_25	NR4A1	573	8.796849250793457	0.4985114	Yes	
row_26	COL18A1	585	8.63586139678955	0.50938797	Yes	
row_27	PLXND1	592	8.59321117401123	0.5205394	Yes	
row_28	BMPER	595	8.580376625061035	0.53193945	Yes	
row_29	PARVA	606	8.454581260681152	0.5426388	Yes	
row_30	CCBE1	609	8.44527816772461	0.5538572	Yes	
row_31	S1PR1	641	8.15216064453125	0.5627545	Yes	
row_32	AMOTL2	676	7.820689678192139	0.57100695	Yes	
row_33	VEGFC	689	7.7118144035339355	0.580575	Yes	
