NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CD209	1302	4.1819305419921875	-0.07112026	No	
row_1	PIKFYVE	2435	1.810276985168457	-0.1394466	No	
row_2	ULBP3	2528	1.7045931816101074	-0.1394611	No	
row_3	LNPEP	2879	1.3568347692489624	-0.15775208	No	
row_4	IDE	4800	0.3528951406478882	-0.28330517	No	
row_5	ULBP2	4913	0.3260294795036316	-0.28954288	No	
row_6	ERAP2	5460	0.19288988411426544	-0.324918	No	
row_7	DNM2	6785	-0.0513075515627861	-0.41218022	No	
row_8	CTSE	7180	-0.12052083760499954	-0.4377737	No	
row_9	HFE	8009	-0.2875441610813141	-0.4914371	No	
row_10	LGMN	8076	-0.302280068397522	-0.4947212	No	
row_11	ACE	8349	-0.36890357732772827	-0.5113738	No	
row_12	SLC11A1	8504	-0.4069271981716156	-0.5200978	No	
row_13	PDIA3	8907	-0.5114316940307617	-0.5448295	No	
row_14	CTSD	9116	-0.5705710649490356	-0.55653805	No	
row_15	MPEG1	9176	-0.5901519060134888	-0.5583361	No	
row_16	FCGR2B	10752	-1.1761950254440308	-0.6581756	No	
row_17	ERAP1	11698	-1.620885968208313	-0.71482486	No	
row_18	ABCB9	11885	-1.7303004264831543	-0.72095627	No	
row_19	HLA-DQB2	11970	-1.7838993072509766	-0.72016037	No	
row_20	CLEC4A	12314	-2.0309603214263916	-0.73559177	No	
row_21	CALR	12424	-2.099682569503784	-0.735324	No	
row_22	MFSD6	12742	-2.3609001636505127	-0.74786496	No	
row_23	CTSF	12781	-2.396587610244751	-0.74185216	No	
row_24	IKBKB	13756	-3.425952434539795	-0.7939977	No	
row_25	HLA-DQB1	14003	-3.8160595893859863	-0.79667467	Yes	
row_26	SAR1B	14074	-3.944960832595825	-0.7872691	Yes	
row_27	HLA-DQA1	14260	-4.2740678787231445	-0.7842885	Yes	
row_28	HLA-DQA2	14348	-4.473880290985107	-0.7741249	Yes	
row_29	HLA-G	14427	-4.646975994110107	-0.76275134	Yes	
row_30	FCER1G	14516	-4.856703758239746	-0.75129235	Yes	
row_31	TAPBPL	14649	-5.219629287719727	-0.7414488	Yes	
row_32	TAPBP	14959	-6.866138458251953	-0.7374402	Yes	
row_33	MICB	14963	-6.880533218383789	-0.7131704	Yes	
row_34	CTSS	14991	-7.176479339599609	-0.6894333	Yes	
row_35	HLA-DPB1	15026	-7.668962478637695	-0.66440713	Yes	
row_36	HLA-DRB5	15066	-8.290501594543457	-0.637501	Yes	
row_37	HLA-DOA	15076	-8.431190490722656	-0.6081131	Yes	
row_38	HLA-DRB1	15082	-8.55451488494873	-0.57802254	Yes	
row_39	HLA-DMB	15088	-8.659514427185059	-0.54755855	Yes	
row_40	HLA-DPA1	15109	-9.121464729309082	-0.51644254	Yes	
row_41	HLA-DRA	15118	-9.25808334350586	-0.4840481	Yes	
row_42	IFI30	15134	-10.030172348022461	-0.44937035	Yes	
row_43	B2M	15138	-10.261972427368164	-0.41307577	Yes	
row_44	HLA-C	15149	-11.099032402038574	-0.3742668	Yes	
row_45	HLA-E	15150	-11.117681503295898	-0.33473107	Yes	
row_46	HLA-B	15151	-11.138444900512695	-0.29512152	Yes	
row_47	HLA-DMA	15159	-11.834590911865234	-0.2534987	Yes	
row_48	HLA-DOB	15164	-12.35726261138916	-0.20981906	Yes	
row_49	HLA-A	15166	-12.697202682495117	-0.16473243	Yes	
row_50	HLA-F	15179	-14.076173782348633	-0.11546851	Yes	
row_51	TAP2	15183	-14.824706077575684	-0.062948324	Yes	
row_52	TAP1	15190	-17.86861801147461	1.9822204E-4	Yes	
