NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SERINC5	746	7.214178562164307	-0.035648383	No	
row_1	TRIM13	1309	4.167791366577148	-0.06495521	No	
row_2	BNIP3L	1582	3.383145809173584	-0.07649675	No	
row_3	IL6	1896	2.6373894214630127	-0.09220722	No	
row_4	ABCC9	2002	2.4425368309020996	-0.09446393	No	
row_5	RNASEL	2120	2.2573845386505127	-0.09787674	No	
row_6	MID2	2263	2.054727077484131	-0.10334395	No	
row_7	TRIM6	2376	1.8883191347122192	-0.10713826	No	
row_8	OPRK1	2732	1.4796665906906128	-0.12788111	No	
row_9	USP20	2877	1.358152151107788	-0.13482884	No	
row_10	TBKBP1	3003	1.248839020729065	-0.14072466	No	
row_11	TRIM35	3013	1.2402981519699097	-0.13892372	No	
row_12	TRIM7	3231	1.0687587261199951	-0.15128534	No	
row_13	TRIM41	3260	1.0541797876358032	-0.15110782	No	
row_14	CARD8	3494	0.9064095616340637	-0.1648474	No	
row_15	IFITM2	3616	0.8438947796821594	-0.17126063	No	
row_16	NCBP1	3774	0.7538772225379944	-0.18024175	No	
row_17	ZCCHC3	3870	0.7046419382095337	-0.18519552	No	
row_18	LYST	3881	0.701339066028595	-0.1845037	No	
row_19	CD207	3972	0.6662572622299194	-0.18919925	No	
row_20	NLRP1	3974	0.6656785011291504	-0.18797798	No	
row_21	SERINC3	4063	0.627790093421936	-0.19261496	No	
row_22	RAB2B	4088	0.614477813243866	-0.19302209	No	
row_23	SETD2	4118	0.6041393876075745	-0.19378169	No	
row_24	BNIP3	4344	0.5097858905792236	-0.2077566	No	
row_25	ZMYND11	4759	0.36741286516189575	-0.23457426	No	
row_26	ZDHHC1	4769	0.3650073707103729	-0.23446658	No	
row_27	TRIM32	4865	0.33716246485710144	-0.24013124	No	
row_28	TRIM8	4872	0.3348262310028076	-0.23988248	No	
row_29	F2RL1	5001	0.30092111229896545	-0.24781156	No	
row_30	BCL2L1	5048	0.28761717677116394	-0.25031385	No	
row_31	AZI2	5518	0.18034012615680695	-0.28115058	No	
row_32	TLR9	5532	0.17548494040966034	-0.28167552	No	
row_33	DDIT4	5818	0.113533616065979	-0.3004066	No	
row_34	FCN3	6110	0.05816848948597908	-0.31964377	No	
row_35	MORC3	6172	0.04756739363074303	-0.32360786	No	
row_36	TRAF3	6274	0.0286566074937582	-0.3302683	No	
row_37	MAVS	6388	0.010600817389786243	-0.3377616	No	
row_38	SLFN11	6390	0.010125539265573025	-0.3378085	No	
row_39	NMB	6596	-0.023266827687621117	-0.3513947	No	
row_40	FADD	6659	-0.030926605686545372	-0.3554575	No	
row_41	TLR8	6770	-0.049463752657175064	-0.36267614	No	
row_42	ZDHHC11	6804	-0.05457127466797829	-0.36476487	No	
row_43	TRIM28	7165	-0.11807487159967422	-0.3884742	No	
row_44	TRAF6	7557	-0.19084924459457397	-0.41410407	No	
row_45	CLPB	7560	-0.19170111417770386	-0.41386622	No	
