NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BGN	6	31.933088302612305	0.047653392	Yes	
row_1	THBS1	36	25.442819595336914	0.08401409	Yes	
row_2	VCAN	43	24.292301177978516	0.120169945	Yes	
row_3	GPC6	45	24.216798782348633	0.15654401	Yes	
row_4	ADAMTS7	56	23.09910011291504	0.19063893	Yes	
row_5	THBS2	77	21.315616607666016	0.22138646	Yes	
row_6	ADAMTS12	91	20.48077392578125	0.25134233	Yes	
row_7	CHSY1	94	20.076326370239258	0.28141963	Yes	
row_8	ADAMTS2	114	19.320634841918945	0.30923158	Yes	
row_9	OGN	119	19.09394073486328	0.3376979	Yes	
row_10	ADAMTS10	139	18.42127227783203	0.36415648	Yes	
row_11	SPON2	146	17.9222412109375	0.39072695	Yes	
row_12	ADAMTS9	149	17.65764808654785	0.4171647	Yes	
row_13	DCN	165	17.14639663696289	0.4419704	Yes	
row_14	ADAMTS16	181	16.18119239807129	0.46532372	Yes	
row_15	SDC2	203	15.382715225219727	0.4870773	Yes	
row_16	ADAMTS14	211	15.163331985473633	0.50942993	Yes	
row_17	HSPG2	226	14.778420448303223	0.5307387	Yes	
row_18	GPC1	233	14.619424819946289	0.55233926	Yes	
row_19	OMD	239	14.511360168457031	0.57384354	Yes	
row_20	ADAMTS5	276	13.484540939331055	0.5917453	Yes	
row_21	CSPG4	293	13.33823013305664	0.6107543	Yes	
row_22	LUM	313	12.807376861572266	0.62876534	Yes	
row_23	SDC1	356	11.86196517944336	0.6438274	Yes	
row_24	PAPSS2	404	11.060457229614258	0.6573515	Yes	
row_25	ADAMTS4	467	9.942222595214844	0.66819745	Yes	
row_26	ADAMTSL1	479	9.84017562866211	0.6822745	Yes	
row_27	ADAMTSL2	534	9.149365425109863	0.6924584	Yes	
row_28	ADAMTSL3	665	7.9084978103637695	0.6957312	Yes	
row_29	SEMA5A	718	7.478938102722168	0.7035342	Yes	
row_30	ADAMTSL5	822	6.601180553436279	0.70663166	Yes	
row_31	FMOD	897	6.104105472564697	0.7109058	Yes	
row_32	MUC5B	991	5.605262756347656	0.7131684	Yes	
row_33	ACAN	1125	4.880951881408691	0.7116864	Yes	
row_34	EXT1	1146	4.781523704528809	0.7175541	Yes	
row_35	CHST14	1193	4.605384826660156	0.72143126	Yes	
row_36	NOTCH4	1200	4.584200859069824	0.72793114	Yes	
