NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PSMD1	5314	0.22554078698158264	-0.3518868	No	
row_1	ANAPC2	5867	0.10273704677820206	-0.38823897	No	
row_2	CDC27	6006	0.0779806450009346	-0.39719468	No	
row_3	RFC1	7037	-0.09640472382307053	-0.4652668	No	
row_4	PSME3	7201	-0.12382311373949051	-0.47576472	No	
row_5	PSME4	7688	-0.21744674444198608	-0.50744915	No	
row_6	FZR1	7720	-0.22322435677051544	-0.5089406	No	
row_7	PSMC4	7911	-0.26553699374198914	-0.5208708	No	
row_8	CDC23	7930	-0.2692982852458954	-0.5213834	No	
row_9	ANAPC4	7967	-0.2778170108795166	-0.5230683	No	
row_10	CDC16	8331	-0.36500513553619385	-0.5462213	No	
row_11	KPNB1	8424	-0.3896132707595825	-0.5513377	No	
row_12	RPS27A	8450	-0.3954343795776367	-0.5519955	No	
row_13	ANAPC1	8952	-0.5249675512313843	-0.5838969	No	
row_14	LIG1	8962	-0.5267021656036377	-0.58316135	No	
row_15	RPA1	9088	-0.5625913143157959	-0.5900289	No	
row_16	KPNA1	9127	-0.5731744766235352	-0.5910993	No	
row_17	SKP2	9225	-0.6070134043693542	-0.59599733	No	
row_18	CUL1	9395	-0.6607823371887207	-0.60553485	No	
row_19	PSMD5	9468	-0.6802237033843994	-0.6085895	No	
row_20	ANAPC16	9499	-0.6896664500236511	-0.60883456	No	
row_21	KPNA6	9509	-0.6920866370201111	-0.6076807	No	
row_22	SKP1	9645	-0.7440930604934692	-0.61475235	No	
row_23	PSMD3	9736	-0.7770227789878845	-0.618756	No	
row_24	UBE2D1	9880	-0.8276664018630981	-0.62614685	No	
row_25	PSMD8	9916	-0.840112566947937	-0.62634295	No	
row_26	CCNA1	10008	-0.8723130226135254	-0.6301719	No	
row_27	POLD4	10096	-0.9068312048912048	-0.63364816	No	
row_28	GINS4	10153	-0.9281125068664551	-0.63501453	No	
row_29	POLE	10182	-0.9394860863685608	-0.63449496	No	
row_30	POLD1	10414	-1.0275328159332275	-0.64721686	No	
row_31	MCM8	10570	-1.0927809476852417	-0.65473294	No	
row_32	UBB	10689	-1.14455246925354	-0.659664	No	
row_33	CDC26	10741	-1.1695789098739624	-0.6600878	No	
row_34	UBC	10939	-1.2639217376708984	-0.6699566	No	
row_35	PSMD12	11082	-1.3253339529037476	-0.6760222	No	
row_36	PSMD2	11084	-1.3259129524230957	-0.6727342	No	
row_37	PSMC5	11112	-1.3426692485809326	-0.6711284	No	
row_38	POLA1	11717	-1.6311213970184326	-0.707063	No	
row_39	MCM10	11789	-1.6711336374282837	-0.70754457	No	
row_40	CDC6	11816	-1.6895831823349	-0.7049948	No	
row_41	ANAPC5	11845	-1.7070103883743286	-0.70253354	No	
row_42	PSMF1	11875	-1.725949764251709	-0.70009077	No	
row_43	PSMB7	12026	-1.8138827085494995	-0.70545095	No	
row_44	CCNE2	12187	-1.9429714679718018	-0.71114784	No	
row_45	PSMC1	12253	-1.983543872833252	-0.7104411	No	
row_46	PSMD10	12407	-2.0914218425750732	-0.71529824	No	
row_47	PSMB5	12517	-2.166536569595337	-0.7170469	Yes	
row_48	PSMA1	12543	-2.193392038345337	-0.7131563	Yes	
row_49	RFC5	12555	-2.2020509243011475	-0.70831513	Yes	
row_50	RFC3	12614	-2.2513935565948486	-0.70646656	Yes	
row_51	PSMD6	12747	-2.3660945892333984	-0.7092359	Yes	
