NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BGN	6	31.933088302612305	0.08651521	Yes	
row_1	SPARC	8	30.717422485351562	0.1700519	Yes	
row_2	LAMB1	12	29.04438018798828	0.24890308	Yes	
row_3	VCAN	43	24.292301177978516	0.313038	Yes	
row_4	TGFB3	90	20.487117767333984	0.3657601	Yes	
row_5	SERPINE1	126	18.914012908935547	0.41492698	Yes	
row_6	MATN3	140	18.34299087524414	0.46399224	Yes	
row_7	DCN	165	17.14639663696289	0.5090745	Yes	
row_8	HSPG2	226	14.778420448303223	0.54533505	Yes	
row_9	ASPN	244	14.31662654876709	0.5831778	Yes	
row_10	LUM	313	12.807376861572266	0.61354566	Yes	
row_11	LRP4	420	10.626246452331543	0.63546824	Yes	
row_12	COL9A3	431	10.494370460510254	0.6633702	Yes	
row_13	COMP	449	10.270650863647461	0.6902011	Yes	
row_14	ITGA8	633	8.247774124145508	0.7005665	Yes	
row_15	VTN	697	7.667983055114746	0.7172767	Yes	
row_16	LAMA4	705	7.56685209274292	0.737409	Yes	
row_17	ITGA2	727	7.370853424072266	0.7560835	Yes	
row_18	LAMA1	877	6.211242198944092	0.7631509	Yes	
row_19	FMOD	897	6.104105472564697	0.7785098	Yes	
row_20	ITGB1	986	5.6218976974487305	0.78800064	Yes	
row_21	LAMA2	1005	5.535256862640381	0.8018774	Yes	
row_22	ACAN	1125	4.880951881408691	0.80730486	Yes	
row_23	ITGB5	1287	4.263751983642578	0.8082795	Yes	
row_24	LAMC1	1300	4.195195198059082	0.8189052	Yes	
row_25	LAMA5	1397	3.8897554874420166	0.8231535	Yes	
row_26	TNXB	1456	3.725987672805786	0.829465	Yes	
row_27	TNC	1469	3.685319423675537	0.8387029	Yes	
row_28	LAMB2	1479	3.6361865997314453	0.84800524	Yes	
row_29	NCAM1	1704	3.050248861312866	0.8415176	No	
row_30	TGFB2	1836	2.7915730476379395	0.8404662	No	
row_31	PTPRS	1962	2.5109264850616455	0.83904713	No	
row_32	ITGA7	2414	1.8361433744430542	0.81426764	No	
row_33	TGFB1	2926	1.318688988685608	0.7841184	No	
row_34	ITGB3	3282	1.044735074043274	0.7635233	No	
row_35	AGRN	3293	1.0376192331314087	0.7656871	No	
row_36	COL9A2	4073	0.6239818930625916	0.7159527	No	
row_37	HAPLN1	4365	0.502872884273529	0.6981083	No	
row_38	ITGB6	4601	0.41551652550697327	0.68372357	No	
row_39	DAG1	4733	0.37638986110687256	0.6760988	No	
row_40	ITGA9	6177	0.04677460715174675	0.5809535	No	
row_41	BCAN	6384	0.011544773355126381	0.56738394	No	
row_42	ITGAV	7105	-0.10874374955892563	0.5201426	No	
row_43	IBSP	8695	-0.4565708041191101	0.41647306	No	
row_44	LAMA3	9270	-0.6199235916137695	0.3802625	No	
row_45	ITGAX	10100	-0.9089477062225342	0.32800242	No	
row_46	COL9A1	10460	-1.0470776557922363	0.3071496	No	
row_47	ITGA2B	12185	-1.938501238822937	0.19860013	No	
