NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FBN1	4	32.399681091308594	0.023218926	Yes	
row_1	COL16A1	5	32.00046157836914	0.046414297	Yes	
row_2	SPARC	8	30.717422485351562	0.06854675	Yes	
row_3	COL1A2	11	29.397796630859375	0.089722686	Yes	
row_4	TIMP3	14	28.692869186401367	0.11038765	Yes	
row_5	LOXL2	15	28.417787551879883	0.13098614	Yes	
row_6	CALD1	16	28.366819381713867	0.15154769	Yes	
row_7	COL1A1	20	27.48004722595215	0.17126709	Yes	
row_8	ECM2	21	27.471452713012695	0.19117963	Yes	
row_9	COL3A1	27	26.716320037841797	0.21021256	Yes	
row_10	LOXL1	31	26.20947265625	0.229011	Yes	
row_11	THBS1	36	25.442819595336914	0.24718727	Yes	
row_12	MMP2	37	25.394012451171875	0.265594	Yes	
row_13	VCAN	43	24.292301177978516	0.28286988	Yes	
row_14	CDH11	47	24.027847290039062	0.30008698	Yes	
row_15	FSTL1	53	23.427934646606445	0.3167363	Yes	
row_16	MMP14	54	23.417184829711914	0.33371013	Yes	
row_17	COL5A2	59	22.85744857788086	0.35001242	Yes	
row_18	IGFBP4	62	22.470273971557617	0.36616698	Yes	
row_19	ACTA2	64	22.187326431274414	0.3821829	Yes	
row_20	SNAI2	70	21.919124603271484	0.3977386	Yes	
row_21	THBS2	77	21.315616607666016	0.4127904	Yes	
row_22	LOX	115	19.259807586669922	0.42429197	Yes	
row_23	SERPINE1	126	18.914012908935547	0.43733713	Yes	
row_24	CYR61	127	18.894344329833984	0.4510326	Yes	
row_25	CTGF	128	18.852785110473633	0.46469796	Yes	
row_26	ADAM12	134	18.654354095458984	0.47788718	Yes	
row_27	MATN3	140	18.34299087524414	0.49085075	Yes	
row_28	PMP22	145	17.939308166503906	0.50358814	Yes	
row_29	HTRA1	147	17.762527465820312	0.51639676	Yes	
row_30	PCOLCE	163	17.18509864807129	0.52785647	Yes	
row_31	DCN	165	17.14639663696289	0.54021853	Yes	
row_32	SFRP4	170	16.894439697265625	0.5521985	Yes	
row_33	RGS4	172	16.717662811279297	0.5642498	Yes	
row_34	INHBA	185	15.998537063598633	0.5750488	Yes	
row_35	SPOCK1	189	15.838951110839844	0.58633024	Yes	
row_36	SLIT2	194	15.744550704956055	0.5974768	Yes	
row_37	SLIT3	206	15.320716857910156	0.6078509	Yes	
row_38	FSTL3	210	15.166752815246582	0.61864513	Yes	
row_39	COL4A2	212	15.11036205291748	0.6295313	Yes	
row_40	BMP1	213	15.095419883728027	0.6404731	Yes	
row_41	CTHRC1	220	14.929512977600098	0.650896	Yes	
row_42	COL4A1	228	14.725882530212402	0.6611048	Yes	
row_43	GEM	237	14.566446304321289	0.6711316	Yes	
row_44	EDIL3	241	14.362748146057129	0.681343	Yes	
