NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DCHS1	40	24.76897621154785	0.03736645	Yes	
row_1	DLC1	65	22.156021118164062	0.07157343	Yes	
row_2	SNAI2	70	21.919124603271484	0.10672598	Yes	
row_3	SLIT2	194	15.744550704956055	0.12399747	Yes	
row_4	PKD2	195	15.721787452697754	0.14940168	Yes	
row_5	BMP4	205	15.356771469116211	0.1736183	Yes	
row_6	SLIT3	206	15.320716857910156	0.19837444	Yes	
row_7	BMP2	223	14.838980674743652	0.22128944	Yes	
row_8	HAND2	238	14.53415584564209	0.24384475	Yes	
row_9	ELN	242	14.351383209228516	0.2668353	Yes	
row_10	ALPK2	248	14.243125915527344	0.28951812	Yes	
row_11	FLRT2	257	13.977052688598633	0.31157172	Yes	
row_12	SFRP2	275	13.555318832397461	0.3323461	Yes	
row_13	ADAMTS5	276	13.484540939331055	0.35413525	Yes	
row_14	APLNR	281	13.463676452636719	0.37562498	Yes	
row_15	TGFBR2	302	13.124903678894043	0.3955046	Yes	
row_16	ANKRD1	310	12.912104606628418	0.4159038	Yes	
row_17	SEMA3C	332	12.482617378234863	0.43467918	Yes	
row_18	CLDN5	430	10.504903793334961	0.44521102	Yes	
row_19	TBX1	450	10.256366729736328	0.46052194	Yes	
row_20	TEK	455	10.186569213867188	0.4767163	Yes	
row_21	NOG	480	9.839086532592773	0.49102086	Yes	
row_22	HEYL	504	9.512526512145996	0.50486416	Yes	
row_23	HEY1	563	8.902027130126953	0.5153963	Yes	
row_24	FOXF1	574	8.788705825805664	0.5289334	Yes	
row_25	ROBO2	587	8.629923820495605	0.5420811	Yes	
row_26	PLXND1	592	8.59321117401123	0.5557009	Yes	
row_27	PARVA	606	8.454581260681152	0.56849885	Yes	
row_28	MEGF8	617	8.384038925170898	0.5813821	Yes	
row_29	TPM1	631	8.26911735534668	0.5938804	Yes	
row_30	S1PR1	641	8.15216064453125	0.6064554	Yes	
row_31	SOX4	683	7.779201507568359	0.6163023	Yes	
row_32	HAS2	752	7.180466651916504	0.62338847	Yes	
row_33	SHOX2	834	6.501840114593506	0.6285146	Yes	
row_34	ENG	868	6.283934116363525	0.63647676	Yes	
