NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FOXO3	4074	0.6228477358818054	-0.2687931	No	
row_1	SARS2	4297	0.523518443107605	-0.28218317	No	
row_2	MRPS35	4647	0.3993714451789856	-0.304321	No	
row_3	MRPS27	5729	0.13277964293956757	-0.3757263	No	
row_4	LARS2	6562	-0.017267942428588867	-0.43090197	No	
row_5	EARS2	7162	-0.1178140714764595	-0.47035524	No	
row_6	MTIF3	7982	-0.2807380259037018	-0.5239917	No	
row_7	MTRF1L	8187	-0.3277423083782196	-0.5366897	No	
row_8	MRPL45	8440	-0.39334267377853394	-0.5524051	No	
row_9	MRPS31	8644	-0.4431954026222229	-0.56474036	No	
row_10	MTRF1	8990	-0.5357083678245544	-0.5862627	No	
row_11	MRPL19	8991	-0.5359519124031067	-0.58488667	No	
row_12	RARS2	9129	-0.5736194252967834	-0.5925066	No	
row_13	TRNT1	9213	-0.6037282347679138	-0.5964653	No	
row_14	TRMT5	9416	-0.6689105033874512	-0.60815465	No	
row_15	POLRMT	9493	-0.6867980360984802	-0.6114354	No	
row_16	GFM2	9612	-0.7324147820472717	-0.6173867	No	
row_17	AARS2	9725	-0.7727311849594116	-0.6228362	No	
row_18	GFM1	9781	-0.7952114939689636	-0.62444484	No	
row_19	TRMT61B	9864	-0.822598934173584	-0.6277752	No	
row_20	MRPS2	9957	-0.8545420169830322	-0.6316872	No	
row_21	MRPL50	10117	-0.916244387626648	-0.63988763	No	
row_22	FASTKD2	10271	-0.9744976162910461	-0.6475403	No	
row_23	PTCD3	10295	-0.9813615083694458	-0.6465472	No	
row_24	RPUSD4	10297	-0.9821680784225464	-0.64409184	No	
row_25	MTIF2	10436	-1.0357015132904053	-0.6505918	No	
row_26	MRPL3	10531	-1.0756205320358276	-0.654069	No	
row_27	MRPS10	10699	-1.1482410430908203	-0.66220474	No	
row_28	MRPL33	10737	-1.1636065244674683	-0.6616729	No	
row_29	WARS2	10914	-1.2524305582046509	-0.6701385	No	
row_30	FASTKD5	10932	-1.2621439695358276	-0.6680262	No	
row_31	ELAC2	11094	-1.3337459564208984	-0.6752875	No	
row_32	IARS2	11230	-1.3983699083328247	-0.68065715	No	
row_33	MRPL1	11487	-1.5124492645263672	-0.69376475	No	
row_34	MTPAP	11537	-1.540280818939209	-0.69306225	No	
row_35	MRPL28	11547	-1.5452357530593872	-0.6896922	No	
row_36	TFB1M	11578	-1.5584827661514282	-0.687682	No	
row_37	MRPL44	11583	-1.563178539276123	-0.68393403	No	
row_38	QRSL1	11962	-1.7801684141159058	-0.70445144	No	
row_39	MRPL39	12036	-1.8235663175582886	-0.70461446	No	
row_40	MRPS5	12111	-1.8809399604797363	-0.7046966	Yes	
row_41	TRIT1	12116	-1.8828814029693604	-0.70012784	Yes	
row_42	MRPL10	12124	-1.8907862901687622	-0.69573784	Yes	
row_43	DARS2	12240	-1.9787063598632812	-0.69829017	Yes	
row_44	MTO1	12263	-1.9884690046310425	-0.6946449	Yes	
row_45	FASTKD1	12397	-2.080953359603882	-0.69812936	Yes	
row_46	MRPL48	12419	-2.096282482147217	-0.694141	Yes	
row_47	GADD45GIP1	12578	-2.2260689735412598	-0.6989121	Yes	
row_48	MRPL30	12704	-2.3257901668548584	-0.70123696	Yes	
row_49	MRPS14	12718	-2.339916944503784	-0.69609207	Yes	
row_50	MRPL41	12734	-2.3548178672790527	-0.6910417	Yes	
row_51	MRPS25	12757	-2.375905752182007	-0.6864018	Yes	
row_52	MRPL42	12759	-2.3789350986480713	-0.68036026	Yes	
