NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SARS2	4297	0.523518443107605	-0.28315285	No	
row_1	MRPS35	4647	0.3993714451789856	-0.30506903	No	
row_2	MRPS27	5729	0.13277964293956757	-0.3762988	No	
row_3	LARS2	6562	-0.017267942428588867	-0.43137863	No	
row_4	EARS2	7162	-0.1178140714764595	-0.47071418	No	
row_5	MTIF3	7982	-0.2807380259037018	-0.5241342	No	
row_6	MTRF1L	8187	-0.3277423083782196	-0.53665906	No	
row_7	MRPL45	8440	-0.39334267377853394	-0.5521658	No	
row_8	MRPS31	8644	-0.4431954026222229	-0.56427455	No	
row_9	MTRF1	8990	-0.5357083678245544	-0.5855125	No	
row_10	MRPL19	8991	-0.5359519124031067	-0.5838885	No	
row_11	RARS2	9129	-0.5736194252967834	-0.5912285	No	
row_12	GFM2	9612	-0.7324147820472717	-0.6209487	No	
row_13	AARS2	9725	-0.7727311849594116	-0.6260287	No	
row_14	GFM1	9781	-0.7952114939689636	-0.6272636	No	
row_15	MRPS2	9957	-0.8545420169830322	-0.6362704	No	
row_16	MRPL50	10117	-0.916244387626648	-0.64403003	No	
row_17	FASTKD2	10271	-0.9744976162910461	-0.65121555	No	
row_18	PTCD3	10295	-0.9813615083694458	-0.64976585	No	
row_19	MTIF2	10436	-1.0357015132904053	-0.6559045	No	
row_20	MRPL3	10531	-1.0756205320358276	-0.6588739	No	
row_21	MRPS10	10699	-1.1482410430908203	-0.66646063	No	
row_22	MRPL33	10737	-1.1636065244674683	-0.6653864	No	
row_23	WARS2	10914	-1.2524305582046509	-0.6732538	No	
row_24	IARS2	11230	-1.3983699083328247	-0.6898897	No	
row_25	MRPL1	11487	-1.5124492645263672	-0.7022704	No	
row_26	MRPL28	11547	-1.5452357530593872	-0.7014975	No	
row_27	MRPL44	11583	-1.563178539276123	-0.69907993	No	
row_28	QRSL1	11962	-1.7801684141159058	-0.7187336	No	
row_29	MRPL39	12036	-1.8235663175582886	-0.71804506	No	
row_30	MRPS5	12111	-1.8809399604797363	-0.71724886	No	
row_31	MRPL10	12124	-1.8907862901687622	-0.7123145	No	
row_32	DARS2	12240	-1.9787063598632812	-0.7139389	No	
row_33	MRPL48	12419	-2.096282482147217	-0.71938175	No	
row_34	GADD45GIP1	12578	-2.2260689735412598	-0.72310597	No	
row_35	MRPL30	12704	-2.3257901668548584	-0.72434133	Yes	
row_36	MRPS14	12718	-2.339916944503784	-0.7181122	Yes	
row_37	MRPL41	12734	-2.3548178672790527	-0.71197045	Yes	
row_38	MRPS25	12757	-2.375905752182007	-0.7062287	Yes	
row_39	MRPL42	12759	-2.3789350986480713	-0.6990861	Yes	
row_40	MRPS9	12768	-2.3856873512268066	-0.692387	Yes	
row_41	MRPS12	12777	-2.3951172828674316	-0.6856593	Yes	
row_42	MTG1	12783	-2.3994760513305664	-0.6787196	Yes	
row_43	MRPS16	12904	-2.5082576274871826	-0.67907065	Yes	
row_44	YARS2	12905	-2.5091426372528076	-0.67146724	Yes	
row_45	MRPS34	12950	-2.5433688163757324	-0.66667587	Yes	
row_46	MRPL46	13057	-2.6569931507110596	-0.6656485	Yes	
row_47	DAP3	13141	-2.7364015579223633	-0.66285646	Yes	
row_48	MRPS33	13157	-2.752824544906616	-0.65550864	Yes	
row_49	MRPL32	13173	-2.7683334350585938	-0.64811385	Yes	
row_50	MRPL47	13183	-2.7746527194976807	-0.6403023	Yes	
row_51	MRPL51	13195	-2.7844741344451904	-0.6325935	Yes	
row_52	MRPL35	13349	-2.9380486011505127	-0.63382894	Yes	
row_53	MRPS28	13357	-2.946404218673706	-0.6253644	Yes	
row_54	MRPL40	13399	-2.9882731437683105	-0.61902606	Yes	
row_55	MRPL43	13525	-3.122074842453003	-0.6178484	Yes	
row_56	NDUFA7	13531	-3.128912925720215	-0.6086983	Yes	
row_57	MRPL13	13623	-3.2432029247283936	-0.60490066	Yes	
row_58	MRPL20	13723	-3.380981683731079	-0.6012156	Yes	
row_59	MRPL27	13739	-3.404350519180298	-0.5918935	Yes	
row_60	MRPL17	13777	-3.4474234580993652	-0.58389866	Yes	
row_61	MRPL36	13817	-3.493652582168579	-0.5758963	Yes	
row_62	MRPL12	13829	-3.5024290084838867	-0.56601197	Yes	
row_63	MRPL55	13875	-3.5922420024871826	-0.55810845	Yes	
row_64	MRPL54	13879	-3.5982306003570557	-0.54740363	Yes	
row_65	AURKAIP1	13932	-3.678981065750122	-0.5397011	Yes	
row_66	MRPL37	13936	-3.6850473880767822	-0.52873325	Yes	
row_67	MRPL49	14039	-3.8797852993011475	-0.52373546	Yes	
row_68	MRPS15	14042	-3.8869876861572266	-0.51208943	Yes	
row_69	TUFM	14046	-3.8922038078308105	-0.5004938	Yes	
row_70	MRPL53	14056	-3.9076101779937744	-0.4892491	Yes	
row_71	MRPL34	14067	-3.929025173187256	-0.4780058	Yes	
row_72	GATC	14092	-3.972083806991577	-0.4675597	Yes	
row_73	MRPL21	14156	-4.085923194885254	-0.45935294	Yes	
row_74	MRPS11	14202	-4.1822099685668945	-0.44966167	Yes	
row_75	MRPL23	14210	-4.199289798736572	-0.43740055	Yes	
row_76	MRPL22	14230	-4.223350524902344	-0.42586175	Yes	
row_77	MRPS7	14281	-4.3230204582214355	-0.41607508	Yes	
row_78	CHCHD1	14300	-4.378484725952148	-0.4039999	Yes	
row_79	MRPS23	14379	-4.538193702697754	-0.39541662	Yes	
row_80	MRPL15	14421	-4.631931781768799	-0.3840975	Yes	
row_81	MRPS24	14422	-4.633852958679199	-0.3700557	Yes	
row_82	MRPL24	14584	-5.051562786102295	-0.36541677	Yes	
row_83	MRPS21	14623	-5.150232791900635	-0.35232827	Yes	
row_84	MRPL52	14642	-5.202001094818115	-0.3377576	Yes	
row_85	MRPS26	14666	-5.260733127593994	-0.3233403	Yes	
row_86	MRPL4	14692	-5.356562614440918	-0.3087651	Yes	
row_87	MRPL9	14702	-5.379946708679199	-0.29305884	Yes	
row_88	MRPS18C	14729	-5.498904228210449	-0.2781186	Yes	
row_89	MRPS22	14774	-5.645648956298828	-0.26392645	Yes	
row_90	MRPS30	14797	-5.7443132400512695	-0.24797751	Yes	
row_91	MRPL38	14937	-6.654462814331055	-0.23702353	Yes	
row_92	MRPS18B	14943	-6.741949081420898	-0.21692498	Yes	
row_93	MRPS17	14956	-6.818495273590088	-0.19705833	Yes	
row_94	MRPS6	14973	-6.946475505828857	-0.17706892	Yes	
row_95	MRPL18	14979	-7.002421855926514	-0.15618107	Yes	
row_96	TSFM	14987	-7.108889579772949	-0.13510312	Yes	
row_97	TARS2	14990	-7.1301140785217285	-0.11362954	Yes	
row_98	MRPL2	15003	-7.306126594543457	-0.09228524	Yes	
row_99	MRPL11	15028	-7.742561340332031	-0.0704136	Yes	
row_100	MRPS18A	15057	-8.126211166381836	-0.04764446	Yes	
row_101	MRPL16	15073	-8.379801750183105	-0.023245433	Yes	
row_102	MRPL14	15139	-10.273327827453613	0.0035782396	Yes	
