NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BTRC	1983	2.4818289279937744	-0.12263371	No	
row_1	PSMD1	5314	0.22554078698158264	-0.34213915	No	
row_2	ANAPC2	5867	0.10273704677820206	-0.37830067	No	
row_3	CDC27	6006	0.0779806450009346	-0.38716105	No	
row_4	PSME3	7201	-0.12382311373949051	-0.46571875	No	
row_5	PSME4	7688	-0.21744674444198608	-0.49711946	No	
row_6	FZR1	7720	-0.22322435677051544	-0.49840173	No	
row_7	PSMC4	7911	-0.26553699374198914	-0.5100563	No	
row_8	CDC23	7930	-0.2692982852458954	-0.51032007	No	
row_9	ANAPC4	7967	-0.2778170108795166	-0.51174515	No	
row_10	CDC16	8331	-0.36500513553619385	-0.5345014	No	
row_11	RPS27A	8450	-0.3954343795776367	-0.540946	No	
row_12	ANAPC1	8952	-0.5249675512313843	-0.5722804	No	
row_13	CUL1	9395	-0.6607823371887207	-0.5992444	No	
row_14	PSMD5	9468	-0.6802237033843994	-0.6016658	No	
row_15	ANAPC16	9499	-0.6896664500236511	-0.6012763	No	
row_16	SKP1	9645	-0.7440930604934692	-0.60830677	No	
row_17	PSMD3	9736	-0.7770227789878845	-0.6115856	No	
row_18	UBE2D1	9880	-0.8276664018630981	-0.6181961	No	
row_19	PSMD8	9916	-0.840112566947937	-0.6176195	No	
row_20	CCNA1	10008	-0.8723130226135254	-0.62063646	No	
row_21	UBB	10689	-1.14455246925354	-0.6616791	No	
row_22	CDC26	10741	-1.1695789098739624	-0.6610268	No	
row_23	UBC	10939	-1.2639217376708984	-0.6697077	No	
row_24	PSMD12	11082	-1.3253339529037476	-0.67453897	No	
row_25	PSMD2	11084	-1.3259129524230957	-0.67004097	No	
row_26	PSMC5	11112	-1.3426692485809326	-0.6672052	No	
row_27	ANAPC5	11845	-1.7070103883743286	-0.70975155	No	
row_28	PSMF1	11875	-1.725949764251709	-0.7057287	No	
row_29	BUB1B	12023	-1.8124895095825195	-0.7092138	No	
row_30	PSMB7	12026	-1.8138827085494995	-0.70310223	No	
row_31	PSMC1	12253	-1.983543872833252	-0.7112244	No	
row_32	PSMD10	12407	-2.0914218425750732	-0.7141462	No	
row_33	PSMB5	12517	-2.166536569595337	-0.71389884	No	
row_34	PSMA1	12543	-2.193392038345337	-0.7080024	No	
row_35	PSMD6	12747	-2.3660945892333984	-0.7132862	No	
row_36	PSMD13	13082	-2.6853890419006348	-0.72613674	Yes	
row_37	UBA52	13090	-2.697148323059082	-0.7173155	Yes	
row_38	ANAPC7	13096	-2.704274892807007	-0.7083374	Yes	
row_39	PSMA7	13200	-2.785933256149292	-0.70556104	Yes	
row_40	CDK2	13406	-2.992527484893799	-0.7088208	Yes	
row_41	PSMB2	13467	-3.0542337894439697	-0.7022764	Yes	
row_42	PSMC3	13560	-3.16575288772583	-0.6974649	Yes	
row_43	UBE2S	13673	-3.3095645904541016	-0.6934814	Yes	
row_44	ANAPC10	13731	-3.391486406326294	-0.6855776	Yes	
row_45	PSMD11	13783	-3.453814744949341	-0.6770623	Yes	
row_46	PSMD9	13825	-3.498201847076416	-0.6677327	Yes	
row_47	PSMD14	13984	-3.7826273441314697	-0.66516376	Yes	
row_48	UBE2C	14022	-3.8508172035217285	-0.65435576	Yes	
row_49	PSMD7	14029	-3.858494758605957	-0.64147073	Yes	
row_50	PSMC6	14079	-3.952395439147949	-0.6311069	Yes	
row_51	ANAPC11	14136	-4.054510116577148	-0.6208546	Yes	
row_52	PSMB6	14198	-4.173231601715088	-0.6105245	Yes	
row_53	CDK1	14217	-4.204923629760742	-0.5972407	Yes	
row_54	PSMA4	14233	-4.227622985839844	-0.5836804	Yes	
row_55	CDC20	14308	-4.403000354766846	-0.5734192	Yes	
row_56	PSMA2	14457	-4.729596138000488	-0.566929	Yes	
row_57	UBE2E1	14561	-4.988535404205322	-0.55657065	Yes	
row_58	MAD2L1	14599	-5.0931196212768555	-0.5414863	Yes	
row_59	PSMB3	14612	-5.115108013153076	-0.5246726	Yes	
row_60	PSMB1	14628	-5.164187908172607	-0.5078884	Yes	
row_61	BUB3	14633	-5.175806999206543	-0.49033645	Yes	
row_62	PLK1	14661	-5.258687496185303	-0.47402072	Yes	
row_63	FBXO5	14679	-5.310848712921143	-0.45686394	Yes	
row_64	PSMA3	14819	-5.888686656951904	-0.44578844	Yes	
row_65	PSMC2	14822	-5.915173530578613	-0.42555913	Yes	
row_66	CCNB1	14832	-5.9550957679748535	-0.40565547	Yes	
row_67	CCNA2	14841	-5.9945149421691895	-0.38554996	Yes	
row_68	PSMD4	15077	-8.499289512634277	-0.37183857	Yes	
row_69	PSMB4	15113	-9.18789291381836	-0.34252667	Yes	
row_70	PSMA5	15135	-10.147501945495605	-0.30898544	Yes	
row_71	PSMA6	15141	-10.422077178955078	-0.27344063	Yes	
row_72	PSMB10	15161	-12.009282112121582	-0.23335835	Yes	
row_73	PSMB8	15186	-15.76928997039795	-0.18066387	Yes	
row_74	PSME1	15187	-16.251163482666016	-0.12472305	Yes	
row_75	PSME2	15191	-17.950611114501953	-0.06313072	Yes	
row_76	PSMB9	15193	-18.359058380126953	-1.1075463E-7	Yes	
