NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NDUFAF1	5567	0.16677503287792206	-0.36782	No	
row_1	NDUFA5	6467	-7.689640042372048E-4	-0.42732185	No	
row_2	UQCRB	7288	-0.14141888916492462	-0.48103783	No	
row_3	NDUFS4	7423	-0.16669264435768127	-0.48924732	No	
row_4	COX19	7462	-0.1727963536977768	-0.4910784	No	
row_5	CYCS	8460	-0.3984352946281433	-0.55549246	No	
row_6	NUBPL	8482	-0.40245458483695984	-0.55528903	No	
row_7	COQ10B	8751	-0.47059983015060425	-0.5711648	No	
row_8	NDUFA4	8778	-0.4778268039226532	-0.5709939	No	
row_9	COX6C	8925	-0.5155831575393677	-0.5786164	No	
row_10	ECSIT	9877	-0.827212393283844	-0.638288	No	
row_11	COX11	9978	-0.8611215353012085	-0.6414977	No	
row_12	UQCRH	10134	-0.9226226210594177	-0.6481043	No	
row_13	SDHA	10243	-0.9615868330001831	-0.6514457	No	
row_14	LRPPRC	10390	-1.0186536312103271	-0.6570764	No	
row_15	UQCRC2	10587	-1.097002625465393	-0.6657064	No	
row_16	COX7C	10676	-1.1374608278274536	-0.66702765	No	
row_17	NDUFAF3	10826	-1.2125569581985474	-0.6720892	No	
row_18	NDUFA10	10980	-1.2800663709640503	-0.6771483	No	
row_19	ETFB	11235	-1.400412917137146	-0.688416	No	
row_20	TRAP1	11523	-1.5325113534927368	-0.701345	No	
row_21	CYC1	11608	-1.5787479877471924	-0.7006544	No	
row_22	COX7A2L	11796	-1.6732503175735474	-0.7064072	No	
row_23	NDUFA3	11835	-1.7013862133026123	-0.7021863	No	
row_24	ACAD9	11936	-1.764132022857666	-0.70182073	No	
row_25	NDUFS5	12204	-1.9548548460006714	-0.7117538	Yes	
row_26	NDUFAF2	12250	-1.9822791814804077	-0.7068841	Yes	
row_27	NDUFS1	12260	-1.9872099161148071	-0.699612	Yes	
row_28	NDUFA8	12330	-2.041552782058716	-0.69609624	Yes	
row_29	NDUFB1	12479	-2.139242172241211	-0.6974226	Yes	
row_30	NDUFV3	12558	-2.206632137298584	-0.69384897	Yes	
row_31	NDUFB8	12644	-2.2793684005737305	-0.6904506	Yes	
row_32	ETFDH	12661	-2.298218250274658	-0.68241054	Yes	
row_33	UQCRC1	12675	-2.308640956878662	-0.6741306	Yes	
row_34	COX4I1	12901	-2.5061185359954834	-0.6791011	Yes	
row_35	NDUFB9	12966	-2.5708110332489014	-0.6731589	Yes	
row_36	NDUFA6	12975	-2.5815038681030273	-0.6634677	Yes	
row_37	NDUFA11	13013	-2.621441602706909	-0.6555379	Yes	
row_38	SURF1	13044	-2.6487252712249756	-0.64703673	Yes	
row_39	NDUFB5	13108	-2.710465669631958	-0.64047545	Yes	
row_40	SDHC	13221	-2.80730938911438	-0.636774	Yes	
row_41	COX16	13228	-2.8142940998077393	-0.6260288	Yes	
row_42	NDUFAF4	13274	-2.852247953414917	-0.61771464	Yes	
row_43	TMEM126B	13285	-2.8667080402374268	-0.60702664	Yes	
row_44	COX18	13310	-2.8963563442230225	-0.59714794	Yes	
row_45	NDUFS8	13436	-3.0311379432678223	-0.5934208	Yes	
row_46	NDUFB4	13492	-3.0865163803100586	-0.5848411	Yes	
row_47	NDUFA7	13531	-3.128912925720215	-0.5749683	Yes	
row_48	SDHD	13540	-3.1407365798950195	-0.56306297	Yes	
row_49	NDUFB10	13635	-3.2621233463287354	-0.5563694	Yes	
row_50	SCO1	13659	-3.289045572280884	-0.5448698	Yes	
row_51	COX6B1	13670	-3.3073627948760986	-0.53243715	Yes	
row_52	NDUFB7	13675	-3.310663938522339	-0.51959425	Yes	
row_53	NDUFA13	13750	-3.417632579803467	-0.51096123	Yes	
row_54	TMEM186	13839	-3.519538164138794	-0.50285137	Yes	
row_55	NDUFA12	13894	-3.614835500717163	-0.4921137	Yes	
row_56	NDUFS2	13922	-3.6594531536102295	-0.47941232	Yes	
row_57	SDHB	13983	-3.779219150543213	-0.468421	Yes	
row_58	SCO2	13995	-3.7994232177734375	-0.4541064	Yes	
row_59	COX8A	13996	-3.7995376586914062	-0.43906322	Yes	
row_60	COX6A1	13999	-3.807708263397217	-0.42412007	Yes	
row_61	COQ10A	14011	-3.828306198120117	-0.4096911	Yes	
row_62	UQCR11	14055	-3.9043428897857666	-0.39707917	Yes	
row_63	NDUFA9	14093	-3.9721009731292725	-0.38380182	Yes	
row_64	UQCRQ	14094	-3.9749245643615723	-0.36806425	Yes	
row_65	NDUFAB1	14115	-4.004497051239014	-0.35353342	Yes	
row_66	NDUFB3	14129	-4.033053874969482	-0.33842617	Yes	
row_67	ETFA	14134	-4.051905632019043	-0.32264858	Yes	
row_68	NDUFS6	14204	-4.1876020431518555	-0.3106361	Yes	
row_69	COX5A	14249	-4.254239082336426	-0.29670507	Yes	
row_70	NDUFV1	14296	-4.366916179656982	-0.28246027	Yes	
row_71	NDUFC1	14354	-4.491771697998047	-0.26844922	Yes	
row_72	NDUFV2	14459	-4.730975151062012	-0.25660208	Yes	
row_73	NDUFC2	14470	-4.754188060760498	-0.23844115	Yes	
row_74	NDUFA2	14535	-4.915759086608887	-0.22321479	Yes	
row_75	NDUFA1	14592	-5.060835361480713	-0.20688453	Yes	
row_76	NDUFB2	14604	-5.10227108001709	-0.18741165	Yes	
row_77	NDUFS7	14607	-5.108597278594971	-0.16731803	Yes	
row_78	COX7B	14636	-5.181973457336426	-0.14865483	Yes	
row_79	TACO1	14681	-5.3218302726745605	-0.13049695	Yes	
row_80	NDUFS3	14807	-5.815183639526367	-0.11574718	Yes	
row_81	NDUFB6	14815	-5.843623161315918	-0.09307438	Yes	
row_82	COX5B	14828	-5.9328131675720215	-0.07037941	Yes	
row_83	UQCR10	14856	-6.055020809173584	-0.048193447	Yes	
row_84	UQCRFS1	15099	-8.779319763183594	-0.029452283	Yes	
row_85	NDUFB11	15104	-8.993675231933594	0.0058908043	Yes	
