NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PSMD1	5314	0.22554078698158264	-0.35088888	No	
row_1	ANAPC2	5867	0.10273704677820206	-0.38707352	No	
row_2	CDC27	6006	0.0779806450009346	-0.39594525	No	
row_3	PSME3	7201	-0.12382311373949051	-0.47454235	No	
row_4	PSME4	7688	-0.21744674444198608	-0.50597703	No	
row_5	FZR1	7720	-0.22322435677051544	-0.50728387	No	
row_6	PSMC4	7911	-0.26553699374198914	-0.5189711	No	
row_7	CDC23	7930	-0.2692982852458954	-0.51926404	No	
row_8	ANAPC4	7967	-0.2778170108795166	-0.5207197	No	
row_9	CDC16	8331	-0.36500513553619385	-0.543523	No	
row_10	RPS27A	8450	-0.3954343795776367	-0.5500126	No	
row_11	ANAPC1	8952	-0.5249675512313843	-0.5814142	No	
row_12	SKP2	9225	-0.6070134043693542	-0.5973887	No	
row_13	CUL1	9395	-0.6607823371887207	-0.60636806	No	
row_14	PSMD5	9468	-0.6802237033843994	-0.6088639	No	
row_15	ANAPC16	9499	-0.6896664500236511	-0.60854894	No	
row_16	SKP1	9645	-0.7440930604934692	-0.61566234	No	
row_17	PSMD3	9736	-0.7770227789878845	-0.6190264	No	
row_18	UBE2D1	9880	-0.8276664018630981	-0.6257287	No	
row_19	PSMD8	9916	-0.840112566947937	-0.6252429	No	
row_20	CCNA1	10008	-0.8723130226135254	-0.6283553	No	
row_21	MCM8	10570	-1.0927809476852417	-0.66183364	No	
row_22	UBB	10689	-1.14455246925354	-0.6658248	No	
row_23	CDC26	10741	-1.1695789098739624	-0.6652989	No	
row_24	UBC	10939	-1.2639217376708984	-0.6741196	No	
row_25	PSMD12	11082	-1.3253339529037476	-0.6790959	No	
row_26	PSMD2	11084	-1.3259129524230957	-0.6747401	No	
row_27	PSMC5	11112	-1.3426692485809326	-0.67204875	No	
row_28	CDC6	11816	-1.6895831823349	-0.7129331	No	
row_29	ANAPC5	11845	-1.7070103883743286	-0.7090929	No	
row_30	PSMF1	11875	-1.725949764251709	-0.7052557	No	
row_31	PSMB7	12026	-1.8138827085494995	-0.7091321	No	
row_32	CCNE2	12187	-1.9429714679718018	-0.71323967	No	
row_33	PSMC1	12253	-1.983543872833252	-0.7109255	No	
row_34	PSMD10	12407	-2.0914218425750732	-0.71407485	No	
row_35	PSMB5	12517	-2.166536569595337	-0.714062	No	
row_36	PSMA1	12543	-2.193392038345337	-0.7084011	No	
row_37	PSMD6	12747	-2.3660945892333984	-0.71394295	No	
row_38	PSMD13	13082	-2.6853890419006348	-0.7270885	Yes	
row_39	UBA52	13090	-2.697148323059082	-0.71855646	Yes	
row_40	ANAPC7	13096	-2.704274892807007	-0.70986825	Yes	
row_41	PSMA7	13200	-2.785933256149292	-0.70739263	Yes	
row_42	MCM7	13219	-2.8050425052642822	-0.69922864	Yes	
row_43	MCM5	13318	-2.9045684337615967	-0.6960265	Yes	
row_44	CDK2	13406	-2.992527484893799	-0.6918031	Yes	
row_45	PSMB2	13467	-3.0542337894439697	-0.6855872	Yes	
row_46	PSMC3	13560	-3.16575288772583	-0.681117	Yes	
row_47	MCM4	13596	-3.2002570629119873	-0.67275983	Yes	
row_48	UBE2S	13673	-3.3095645904541016	-0.66675115	Yes	
row_49	MCM2	13714	-3.367718458175659	-0.65816635	Yes	
row_50	MCM6	13727	-3.384777307510376	-0.6476718	Yes	
row_51	ANAPC10	13731	-3.391486406326294	-0.63655937	Yes	
row_52	PSMD11	13783	-3.453814744949341	-0.6284153	Yes	
row_53	PSMD9	13825	-3.498201847076416	-0.6194615	Yes	
row_54	PSMD14	13984	-3.7826273441314697	-0.6173013	Yes	
row_55	UBE2C	14022	-3.8508172035217285	-0.6069068	Yes	
row_56	PSMD7	14029	-3.858494758605957	-0.5944353	Yes	
row_57	RBX1	14058	-3.911715507507324	-0.5832421	Yes	
row_58	CCNE1	14059	-3.9159624576568604	-0.57018197	Yes	
row_59	PSMC6	14079	-3.952395439147949	-0.5582576	Yes	
row_60	ANAPC11	14136	-4.054510116577148	-0.548441	Yes	
row_61	PSMB6	14198	-4.173231601715088	-0.5385593	Yes	
row_62	PSMA4	14233	-4.227622985839844	-0.5267096	Yes	
row_63	MCM3	14255	-4.267348289489746	-0.51386714	Yes	
row_64	PSMA2	14457	-4.729596138000488	-0.51139414	Yes	
row_65	UBE2E1	14561	-4.988535404205322	-0.5015726	Yes	
row_66	PSMB3	14612	-5.115108013153076	-0.48782176	Yes	
row_67	PSMB1	14628	-5.164187908172607	-0.47159123	Yes	
row_68	PSMA3	14819	-5.888686656951904	-0.4645246	Yes	
row_69	PSMC2	14822	-5.915173530578613	-0.44492918	Yes	
row_70	CCNA2	14841	-5.9945149421691895	-0.42612794	Yes	
row_71	GMNN	14966	-6.903538703918457	-0.41130927	Yes	
row_72	PSMD4	15077	-8.499289512634277	-0.3902422	Yes	
row_73	CDT1	15106	-9.036434173583984	-0.36195752	Yes	
row_74	PSMB4	15113	-9.18789291381836	-0.33171192	Yes	
row_75	PSMA5	15135	-10.147501945495605	-0.2992585	Yes	
row_76	PSMA6	15141	-10.422077178955078	-0.2648306	Yes	
row_77	PSMB10	15161	-12.009282112121582	-0.2260356	Yes	
row_78	PSMB8	15186	-15.76928997039795	-0.17503142	Yes	
row_79	PSME1	15187	-16.251163482666016	-0.120831996	Yes	
row_80	PSME2	15191	-17.950611114501953	-0.061163254	Yes	
row_81	PSMB9	15193	-18.359058380126953	5.2154064E-8	Yes	
