NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PSMD1	5314	0.22554078698158264	-0.35173202	No	
row_1	ANAPC2	5867	0.10273704677820206	-0.38806295	No	
row_2	CDC27	6006	0.0779806450009346	-0.39701	No	
row_3	RFC1	7037	-0.09640472382307053	-0.46504867	No	
row_4	PSME3	7201	-0.12382311373949051	-0.4755343	No	
row_5	PSME4	7688	-0.21744674444198608	-0.50719184	No	
row_6	FZR1	7720	-0.22322435677051544	-0.50866795	No	
row_7	PSMC4	7911	-0.26553699374198914	-0.520576	No	
row_8	CDC23	7930	-0.2692982852458954	-0.52107066	No	
row_9	ANAPC4	7967	-0.2778170108795166	-0.52273667	No	
row_10	CDC16	8331	-0.36500513553619385	-0.5458565	No	
row_11	RPS27A	8450	-0.3954343795776367	-0.5526539	No	
row_12	ANAPC1	8952	-0.5249675512313843	-0.58450806	No	
row_13	LIG1	8962	-0.5267021656036377	-0.5837382	No	
row_14	RPA1	9088	-0.5625913143157959	-0.59056604	No	
row_15	SKP2	9225	-0.6070134043693542	-0.5980079	No	
row_16	CUL1	9395	-0.6607823371887207	-0.60749817	No	
row_17	PSMD5	9468	-0.6802237033843994	-0.6105069	No	
row_18	ANAPC16	9499	-0.6896664500236511	-0.61070657	No	
row_19	SKP1	9645	-0.7440930604934692	-0.6183895	No	
row_20	PSMD3	9736	-0.7770227789878845	-0.62234044	No	
row_21	UBE2D1	9880	-0.8276664018630981	-0.62967396	No	
row_22	PSMD8	9916	-0.840112566947937	-0.62981474	No	
row_23	CCNA1	10008	-0.8723130226135254	-0.6335848	No	
row_24	POLD4	10096	-0.9068312048912048	-0.6370001	No	
row_25	GINS4	10153	-0.9281125068664551	-0.6383049	No	
row_26	POLE	10182	-0.9394860863685608	-0.6377238	No	
row_27	POLD1	10414	-1.0275328159332275	-0.6503731	No	
row_28	MCM8	10570	-1.0927809476852417	-0.6578143	No	
row_29	UBB	10689	-1.14455246925354	-0.66266817	No	
row_30	CDC26	10741	-1.1695789098739624	-0.66301495	No	
row_31	UBC	10939	-1.2639217376708984	-0.6727967	No	
row_32	PSMD12	11082	-1.3253339529037476	-0.6787727	No	
row_33	PSMD2	11084	-1.3259129524230957	-0.6753989	No	
row_34	PSMC5	11112	-1.3426692485809326	-0.67370546	No	
row_35	POLA1	11717	-1.6311213970184326	-0.70951855	No	
row_36	CDC6	11816	-1.6895831823349	-0.7116323	No	
row_37	ANAPC5	11845	-1.7070103883743286	-0.70905983	No	
row_38	PSMF1	11875	-1.725949764251709	-0.7065045	No	
row_39	PSMB7	12026	-1.8138827085494995	-0.71174335	No	
row_40	CCNE2	12187	-1.9429714679718018	-0.71731025	No	
row_41	PSMC1	12253	-1.983543872833252	-0.7164734	No	
row_42	PSMD10	12407	-2.0914218425750732	-0.72119105	No	
row_43	PSMB5	12517	-2.166536569595337	-0.7227966	Yes	
row_44	PSMA1	12543	-2.193392038345337	-0.71876335	Yes	
row_45	RFC5	12555	-2.2020509243011475	-0.7137794	Yes	
row_46	RFC3	12614	-2.2513935565948486	-0.71178347	Yes	
row_47	PSMD6	12747	-2.3660945892333984	-0.7143962	Yes	
row_48	RPA3	12933	-2.5309202671051025	-0.72009516	Yes	
row_49	DNA2	13072	-2.67870831489563	-0.72229457	Yes	
