NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_INTERFERON_ALPHA_RESPONSE%MSIGDBHALLMARK%HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE%MSIGDBHALLMARK%HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	79	-0.8557666	-2.903968	0.0	0.0	0.0	1188	tags=73%, list=8%, signal=79%	
HALLMARK_INTERFERON_GAMMA_RESPONSE%MSIGDBHALLMARK%HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE%MSIGDBHALLMARK%HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	163	-0.7288947	-2.797941	0.0	0.0	0.0	1369	tags=53%, list=9%, signal=57%	
SYNTHESIS OF DNA%REACTOME DATABASE ID RELEASE 65%69239	SYNTHESIS OF DNA%REACTOME DATABASE ID RELEASE 65%69239	Details ...	111	-0.72924453	-2.649106	0.0	0.0	0.0	2123	tags=56%, list=14%, signal=64%	
INTERFERON ALPHA BETA SIGNALING%REACTOME DATABASE ID RELEASE 65%909733	INTERFERON ALPHA BETA SIGNALING%REACTOME DATABASE ID RELEASE 65%909733	Details ...	62	-0.8137056	-2.6403186	0.0	0.0	0.0	1111	tags=60%, list=7%, signal=64%	
DEFENSE RESPONSE TO VIRUS%GOBP%GO:0051607	DEFENSE RESPONSE TO VIRUS%GOBP%GO:0051607	Details ...	155	-0.6917709	-2.6331024	0.0	0.0	0.0	1056	tags=35%, list=7%, signal=38%	
MITOCHONDRIAL GENE EXPRESSION%GOBP%GO:0140053	MITOCHONDRIAL GENE EXPRESSION%GOBP%GO:0140053	Details ...	127	-0.7095259	-2.6311579	0.0	0.0	0.0	3084	tags=69%, list=20%, signal=85%	
MITOCHONDRIAL TRANSLATION%GOBP%GO:0032543	MITOCHONDRIAL TRANSLATION%GOBP%GO:0032543	Details ...	103	-0.73138905	-2.622553	0.0	0.0	0.0	2491	tags=66%, list=16%, signal=78%	
ANTIGEN PROCESSING AND PRESENTATION%GOBP%GO:0019882	ANTIGEN PROCESSING AND PRESENTATION%GOBP%GO:0019882	Details ...	75	-0.75708723	-2.611104	0.0	0.0	0.0	1548	tags=44%, list=10%, signal=49%	
DNA REPLICATION%REACTOME DATABASE ID RELEASE 65%69306	DNA REPLICATION%REACTOME DATABASE ID RELEASE 65%69306	Details ...	117	-0.72252774	-2.6107328	0.0	0.0	0.0	2678	tags=60%, list=18%, signal=72%	
MITOCHONDRIAL TRANSLATION%REACTOME%R-HSA-5368287.3	MITOCHONDRIAL TRANSLATION%REACTOME%R-HSA-5368287.3	Details ...	91	-0.7372343	-2.602313	0.0	0.0	0.0	3159	tags=77%, list=21%, signal=97%	
MITOCHONDRIAL TRANSLATION ELONGATION%REACTOME%R-HSA-5389840.3	MITOCHONDRIAL TRANSLATION ELONGATION%REACTOME%R-HSA-5389840.3	Details ...	85	-0.75188357	-2.6020198	0.0	0.0	0.0	2491	tags=74%, list=16%, signal=88%	
INTERFERON GAMMA SIGNALING%REACTOME DATABASE ID RELEASE 65%877300	INTERFERON GAMMA SIGNALING%REACTOME DATABASE ID RELEASE 65%877300	Details ...	86	-0.7388316	-2.5841823	0.0	0.0	0.0	1192	tags=45%, list=8%, signal=49%	
MITOCHONDRIAL TRANSLATION INITIATION%REACTOME DATABASE ID RELEASE 65%5368286	MITOCHONDRIAL TRANSLATION INITIATION%REACTOME DATABASE ID RELEASE 65%5368286	Details ...	85	-0.74445224	-2.583012	0.0	0.0	0.0	3159	tags=80%, list=21%, signal=100%	
HALLMARK_E2F_TARGETS%MSIGDBHALLMARK%HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS%MSIGDBHALLMARK%HALLMARK_E2F_TARGETS	Details ...	151	-0.6891697	-2.5810626	0.0	0.0	0.0	2900	tags=60%, list=19%, signal=74%	
RESPIRATORY ELECTRON TRANSPORT%REACTOME DATABASE ID RELEASE 65%611105	RESPIRATORY ELECTRON TRANSPORT%REACTOME DATABASE ID RELEASE 65%611105	Details ...	86	-0.7194935	-2.5808542	0.0	0.0	0.0	2991	tags=71%, list=20%, signal=88%	
ANTIGEN PROCESSING AND PRESENTATION OF PEPTIDE ANTIGEN%GOBP%GO:0048002	ANTIGEN PROCESSING AND PRESENTATION OF PEPTIDE ANTIGEN%GOBP%GO:0048002	Details ...	53	-0.810245	-2.5621307	0.0	0.0	0.0	1192	tags=53%, list=8%, signal=57%	
SWITCHING OF ORIGINS TO A POST-REPLICATIVE STATE%REACTOME%R-HSA-69052.6	SWITCHING OF ORIGINS TO A POST-REPLICATIVE STATE%REACTOME%R-HSA-69052.6	Details ...	82	-0.7360446	-2.5458794	0.0	0.0	0.0	2113	tags=54%, list=14%, signal=62%	
MITOCHONDRIAL TRANSLATION TERMINATION%REACTOME%R-HSA-5419276.3	MITOCHONDRIAL TRANSLATION TERMINATION%REACTOME%R-HSA-5419276.3	Details ...	85	-0.744224	-2.5437279	0.0	0.0	0.0	2491	tags=72%, list=16%, signal=85%	
REGULATION OF APC C ACTIVATORS BETWEEN G1 S AND EARLY ANAPHASE%REACTOME%R-HSA-176408.6	REGULATION OF APC C ACTIVATORS BETWEEN G1 S AND EARLY ANAPHASE%REACTOME%R-HSA-176408.6	Details ...	77	-0.7353806	-2.5337214	0.0	0.0	0.0	2113	tags=53%, list=14%, signal=62%	
APC C-MEDIATED DEGRADATION OF CELL CYCLE PROTEINS%REACTOME%R-HSA-174143.3	APC C-MEDIATED DEGRADATION OF CELL CYCLE PROTEINS%REACTOME%R-HSA-174143.3	Details ...	84	-0.734176	-2.530262	0.0	0.0	0.0	2113	tags=52%, list=14%, signal=61%	
DNA REPLICATION PRE-INITIATION%REACTOME DATABASE ID RELEASE 65%69002	DNA REPLICATION PRE-INITIATION%REACTOME DATABASE ID RELEASE 65%69002		91	-0.7277825	-2.515259	0.0	0.0	0.0	2448	tags=58%, list=16%, signal=69%	
APC C:CDC20 MEDIATED DEGRADATION OF MITOTIC PROTEINS%REACTOME%R-HSA-176409.5	APC C:CDC20 MEDIATED DEGRADATION OF MITOTIC PROTEINS%REACTOME%R-HSA-176409.5		72	-0.7464623	-2.514738	0.0	0.0	0.0	2113	tags=56%, list=14%, signal=64%	
ASSEMBLY OF THE PRE-REPLICATIVE COMPLEX%REACTOME%R-HSA-68867.10	ASSEMBLY OF THE PRE-REPLICATIVE COMPLEX%REACTOME%R-HSA-68867.10		75	-0.7387813	-2.511369	0.0	0.0	0.0	2113	tags=53%, list=14%, signal=62%	
DOWNSTREAM TCR SIGNALING%REACTOME%R-HSA-202424.6	DOWNSTREAM TCR SIGNALING%REACTOME%R-HSA-202424.6		91	-0.6973097	-2.4959621	0.0	0.0	0.0	2113	tags=49%, list=14%, signal=57%	
ACTIVATION OF APC C AND APC C:CDC20 MEDIATED DEGRADATION OF MITOTIC PROTEINS%REACTOME DATABASE ID RELEASE 65%176814	ACTIVATION OF APC C AND APC C:CDC20 MEDIATED DEGRADATION OF MITOTIC PROTEINS%REACTOME DATABASE ID RELEASE 65%176814		73	-0.7486456	-2.494843	0.0	0.0	0.0	2113	tags=56%, list=14%, signal=65%	
RESPIRATORY ELECTRON TRANSPORT, ATP SYNTHESIS BY CHEMIOSMOTIC COUPLING, AND HEAT PRODUCTION BY UNCOUPLING PROTEINS.%REACTOME%R-HSA-163200.3	RESPIRATORY ELECTRON TRANSPORT, ATP SYNTHESIS BY CHEMIOSMOTIC COUPLING, AND HEAT PRODUCTION BY UNCOUPLING PROTEINS.%REACTOME%R-HSA-163200.3		90	-0.71436256	-2.4879422	0.0	0.0	0.0	2991	tags=69%, list=20%, signal=85%	
G2 M CHECKPOINTS%REACTOME DATABASE ID RELEASE 65%69481	G2 M CHECKPOINTS%REACTOME DATABASE ID RELEASE 65%69481		117	-0.6838342	-2.483182	0.0	0.0	0.0	2678	tags=54%, list=18%, signal=65%	
SEPARATION OF SISTER CHROMATIDS%REACTOME%R-HSA-2467813.4	SEPARATION OF SISTER CHROMATIDS%REACTOME%R-HSA-2467813.4		156	-0.66158926	-2.4745288	0.0	0.0	0.0	3350	tags=56%, list=22%, signal=71%	
S PHASE%REACTOME%R-HSA-69242.5	S PHASE%REACTOME%R-HSA-69242.5		152	-0.66578424	-2.462036	0.0	0.0	0.0	2788	tags=53%, list=18%, signal=64%	
APC:CDC20 MEDIATED DEGRADATION OF CELL CYCLE PROTEINS PRIOR TO SATISFATION OF THE CELL CYCLE CHECKPOINT%REACTOME DATABASE ID RELEASE 65%179419	APC:CDC20 MEDIATED DEGRADATION OF CELL CYCLE PROTEINS PRIOR TO SATISFATION OF THE CELL CYCLE CHECKPOINT%REACTOME DATABASE ID RELEASE 65%179419		70	-0.74150676	-2.461094	0.0	0.0	0.0	2113	tags=54%, list=14%, signal=63%	
APC C:CDH1 MEDIATED DEGRADATION OF CDC20 AND OTHER APC C:CDH1 TARGETED PROTEINS IN LATE MITOSIS EARLY G1%REACTOME DATABASE ID RELEASE 65%174178	APC C:CDH1 MEDIATED DEGRADATION OF CDC20 AND OTHER APC C:CDH1 TARGETED PROTEINS IN LATE MITOSIS EARLY G1%REACTOME DATABASE ID RELEASE 65%174178		70	-0.7365134	-2.4574816	0.0	0.0	0.0	2113	tags=51%, list=14%, signal=59%	
REGULATION OF MITOTIC CELL CYCLE%REACTOME DATABASE ID RELEASE 65%453276	REGULATION OF MITOTIC CELL CYCLE%REACTOME DATABASE ID RELEASE 65%453276		84	-0.734176	-2.4544244	0.0	0.0	0.0	2113	tags=52%, list=14%, signal=61%	
APC C:CDC20 MEDIATED DEGRADATION OF SECURIN%REACTOME DATABASE ID RELEASE 65%174154	APC C:CDC20 MEDIATED DEGRADATION OF SECURIN%REACTOME DATABASE ID RELEASE 65%174154		64	-0.7410781	-2.4478607	0.0	0.0	0.0	2113	tags=53%, list=14%, signal=61%	
MITOCHONDRIAL RESPIRATORY CHAIN COMPLEX ASSEMBLY%GOBP%GO:0033108	MITOCHONDRIAL RESPIRATORY CHAIN COMPLEX ASSEMBLY%GOBP%GO:0033108		65	-0.74495983	-2.4450915	0.0	0.0	0.0	3360	tags=82%, list=22%, signal=104%	
AUTODEGRADATION OF CDH1 BY CDH1:APC C%REACTOME DATABASE ID RELEASE 65%174084	AUTODEGRADATION OF CDH1 BY CDH1:APC C%REACTOME DATABASE ID RELEASE 65%174084		62	-0.7359979	-2.438715	0.0	0.0	0.0	2113	tags=52%, list=14%, signal=60%	
OXIDATIVE PHOSPHORYLATION%GOBP%GO:0006119	OXIDATIVE PHOSPHORYLATION%GOBP%GO:0006119		69	-0.7266896	-2.4363043	0.0	0.0	0.0	2991	tags=74%, list=20%, signal=92%	
CDC20:PHOSPHO-APC C MEDIATED DEGRADATION OF CYCLIN A%REACTOME%R-HSA-174184.3	CDC20:PHOSPHO-APC C MEDIATED DEGRADATION OF CYCLIN A%REACTOME%R-HSA-174184.3		69	-0.73929006	-2.4358683	0.0	0.0	0.0	2113	tags=54%, list=14%, signal=62%	
