NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION%MSIGDBHALLMARK%HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION%MSIGDBHALLMARK%HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	146	0.8653797	2.5404062	0.0	0.0	0.0	1024	tags=56%, list=7%, signal=60%	
EXTRACELLULAR MATRIX ORGANIZATION%GOBP%GO:0030198	EXTRACELLULAR MATRIX ORGANIZATION%GOBP%GO:0030198	Details ...	159	0.8402664	2.5212123	0.0	0.0	0.0	808	tags=47%, list=5%, signal=49%	
EXTRACELLULAR STRUCTURE ORGANIZATION%GOBP%GO:0043062	EXTRACELLULAR STRUCTURE ORGANIZATION%GOBP%GO:0043062	Details ...	159	0.8402664	2.5208151	0.0	0.0	0.0	808	tags=47%, list=5%, signal=49%	
EXTERNAL ENCAPSULATING STRUCTURE ORGANIZATION%GOBP%GO:0045229	EXTERNAL ENCAPSULATING STRUCTURE ORGANIZATION%GOBP%GO:0045229	Details ...	160	0.839862	2.5066166	0.0	0.0	0.0	808	tags=47%, list=5%, signal=49%	
COLLAGEN BIOSYNTHESIS AND MODIFYING ENZYMES%REACTOME%R-HSA-1650814.6	COLLAGEN BIOSYNTHESIS AND MODIFYING ENZYMES%REACTOME%R-HSA-1650814.6	Details ...	55	0.90426415	2.4200683	0.0	0.0	0.0	900	tags=67%, list=6%, signal=71%	
COLLAGEN FORMATION%REACTOME%R-HSA-1474290.5	COLLAGEN FORMATION%REACTOME%R-HSA-1474290.5	Details ...	73	0.8792928	2.3891675	0.0	0.0	0.0	900	tags=58%, list=6%, signal=61%	
BETA1 INTEGRIN CELL SURFACE INTERACTIONS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%BETA1 INTEGRIN CELL SURFACE INTERACTIONS	BETA1 INTEGRIN CELL SURFACE INTERACTIONS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%BETA1 INTEGRIN CELL SURFACE INTERACTIONS	Details ...	63	0.882223	2.3786323	0.0	0.0	0.0	1005	tags=62%, list=7%, signal=66%	
ASSEMBLY OF COLLAGEN FIBRILS AND OTHER MULTIMERIC STRUCTURES%REACTOME%R-HSA-2022090.5	ASSEMBLY OF COLLAGEN FIBRILS AND OTHER MULTIMERIC STRUCTURES%REACTOME%R-HSA-2022090.5	Details ...	50	0.8855801	2.328526	0.0	0.0	0.0	816	tags=60%, list=5%, signal=63%	
COLLAGEN CHAIN TRIMERIZATION%REACTOME DATABASE ID RELEASE 65%8948216	COLLAGEN CHAIN TRIMERIZATION%REACTOME DATABASE ID RELEASE 65%8948216	Details ...	38	0.92892236	2.311195	0.0	0.0	0.0	816	tags=74%, list=5%, signal=78%	
BLOOD VESSEL MORPHOGENESIS%GOBP%GO:0048514	BLOOD VESSEL MORPHOGENESIS%GOBP%GO:0048514	Details ...	194	0.7525507	2.284982	0.0	0.0	0.0	1933	tags=50%, list=13%, signal=57%	
COLLAGEN FIBRIL ORGANIZATION%GOBP%GO:0030199	COLLAGEN FIBRIL ORGANIZATION%GOBP%GO:0030199	Details ...	38	0.9004341	2.273004	0.0	0.0	0.0	808	tags=66%, list=5%, signal=69%	
DEGRADATION OF THE EXTRACELLULAR MATRIX%REACTOME DATABASE ID RELEASE 65%1474228	DEGRADATION OF THE EXTRACELLULAR MATRIX%REACTOME DATABASE ID RELEASE 65%1474228	Details ...	87	0.7843657	2.2538934	0.0	0.0	0.0	1519	tags=40%, list=10%, signal=44%	
CADHERIN SIGNALING PATHWAY%PANTHER PATHWAY%P00012	CADHERIN SIGNALING PATHWAY%PANTHER PATHWAY%P00012	Details ...	111	0.7724988	2.240431	0.0	0.0	0.0	2229	tags=54%, list=15%, signal=63%	
PID_INTEGRIN1_PATHWAY%MSIGDB_C2%PID_INTEGRIN1_PATHWAY	PID_INTEGRIN1_PATHWAY%MSIGDB_C2%PID_INTEGRIN1_PATHWAY	Details ...	46	0.87108934	2.2295504	0.0	0.0	0.0	986	tags=57%, list=6%, signal=60%	
ANGIOGENESIS%GOBP%GO:0001525	ANGIOGENESIS%GOBP%GO:0001525	Details ...	146	0.7521429	2.2240956	0.0	0.0	0.0	1580	tags=46%, list=10%, signal=51%	
HEART MORPHOGENESIS%GOBP%GO:0003007	HEART MORPHOGENESIS%GOBP%GO:0003007	Details ...	138	0.74797636	2.2043638	0.0	0.0	0.0	1903	tags=45%, list=13%, signal=51%	
ECM PROTEOGLYCANS%REACTOME DATABASE ID RELEASE 65%3000178	ECM PROTEOGLYCANS%REACTOME DATABASE ID RELEASE 65%3000178	Details ...	48	0.84800524	2.195161	0.0	0.0	0.0	1479	tags=60%, list=10%, signal=67%	
DISEASES OF GLYCOSYLATION%REACTOME DATABASE ID RELEASE 65%3781865	DISEASES OF GLYCOSYLATION%REACTOME DATABASE ID RELEASE 65%3781865	Details ...	126	0.7428871	2.1833992	0.0	0.0	0.0	1276	tags=32%, list=8%, signal=34%	
